Census Tract Id, Mean Elevation, Median Household Income
1096.03, 275.016393442622928, 69619
1096.04, 280.787671232876733, 94266
1097.00, 281.020725388601022, 104931
1098.00, 275.344827586206918, 92135
1111.00, 290.179687500000000, 104489
1112.01, 321.012396694214885, 111157
1112.02, 311.978632478632505, 110888
1112.04, 309.554479418886217, 163472
1112.05, 286.500000000000000, 77917
1112.06, 321.285266457680223, 137734
1113.02, 289.127551020408191, 74559
1113.03, 298.588235294117624, 101066
1113.04, 305.526315789473699, 53000
1114.01, 279.640776699029118, 125852
1114.02, 283.456000000000017, 49113
1131.01, 312.530249110320312, 112750
1131.02, 321.469026548672559, 165333
1132.11, 368.509454949944370, 97554
1132.12, 298.439024390243901, 98990
1132.13, 288.547169811320771, 111324
1132.31, 353.232558139534888, 122321
1132.32, 273.462151394422335, 139118
1132.34, 260.666666666666686, 61989
1132.35, 397.622857142857129, 99375
1132.37, 309.841924398625451, 122019
1132.38, 259.595505617977551, 57829
1132.39, 269.035714285714278, 43382
1133.01, 268.381294964028768, 100417
1133.03, 272.807920792079187, 100603
1133.22, 282.582568807339442, 103500
1133.23, 291.933333333333337, 76250
1133.24, 287.024390243902417, 90989
1134.23, 249.111111111111114, 101563
1134.24, 249.169014084507040, 94132
1134.25, 265.809523809523796, 65313
1134.26, 264.551724137931046, 66816
1134.27, 258.575757575757564, 57277
1134.28, 254.823529411764696, 125331
1151.01, 264.631799163179892, 127500
1151.03, 272.386740331491694, -
1151.04, 261.357142857142833, 55600
1152.02, 251.723502304147473, 63194
1152.03, 273.746835443037980, 68125
1152.04, 263.452631578947376, 105076
1153.01, 262.277227722772295, 102560
1153.02, 241.020000000000010, 62545
1154.01, 242.299578059071735, 54702
1154.03, 239.681818181818187, 61864
1154.04, 239.851239669421489, 95556
1171.01, 259.851063829787222, 88992
1171.02, 266.961538461538453, 77292
1172.01, 265.118811881188094, 49756
1172.02, 267.122727272727275, 98920
1173.01, 264.720238095238074, 125625
1173.02, 262.535714285714278, 108229
1173.03, 250.601809954751133, 110464
1174.04, 250.279816513761460, 118860
1174.05, 255.956521739130437, 45439
1174.07, 252.840000000000003, 41823
1174.08, 248.340425531914889, 44375
1175.10, 254.976744186046517, 50642
1175.20, 251.699999999999989, 39504
1175.30, 247.361111111111114, 57336
1190.01, 258.805970149253710, 99191
